id,target,gold_source,predicted_rank_1,gold_rank,top_k_sources,top_k_scores
38,Land System,Skin System,lubrication system,2,"['lubrication system', 'Skin System', 'Desert', 'Army', 'Transportation Systems', 'Machines', 'Factory System', 'sound system', 'Urban Transportation', 'laboratory', 'ecosystem', 'life', 'Plants', ""the factory's production line"", 'Ecosystem', 'Greenhouse', 'Operating System', 'Buildings', 'The Production Line of a Car Factory', 'Planting']","[0.47600722180021665, 0.468191805823462, 0.4357493155764143, 0.38092395846033167, 0.3600326372921325, 0.35288263984715934, 0.35200649688036956, 0.3419491412498995, 0.3293687681399796, 0.3209074358158924, 0.31973661853413493, 0.31703125896459083, 0.3141311770588199, 0.3128198600653997, 0.30843146283380873, 0.3076302086594004, 0.30096067142981153, 0.3008129422250016, 0.29969208084939714, 0.29784166399833367]"
39,Earth,Human Body,planet,12,"['planet', 'Ecosystem', 'Plants', 'day and night cycle', 'Desert', 'ecosystem', 'life', 'forest', 'Skin System', 'River', 'universe', 'Human Body', 'tidal phenomena', 'human', 'Biological Evolution', 'Spread of Fire', 'Heart', 'India', 'City', 'Buildings']","[0.6058190820667637, 0.4836978811406329, 0.4672009819079076, 0.44860433213356454, 0.44245655561773706, 0.43959786165504855, 0.43816973012215765, 0.40798563193865195, 0.37911389860405986, 0.37308473659418273, 0.365586560304792, 0.3622920741048191, 0.3586098481944454, 0.35513872586403517, 0.33816648688881246, 0.3362471174968184, 0.33467836548643815, 0.33375497116738023, 0.331380600882188, 0.3312763957234659]"
40,Natural Disasters,Diseases,Spread of Fire,6,"['Spread of Fire', 'poverty', 'Ecosystem', 'ecosystem', 'Vehicle Traffic', 'Diseases', 'Dust Storm', 'Disease', 'Buildings', 'natural selection', 'City', 'wound', 'city', 'illness', 'Construction Work', 'society', 'nation', 'difficulties', 'Population Movement', 'Human Relationships']","[0.4462837301737094, 0.42312235310436164, 0.4229559817277266, 0.42152519059954685, 0.4204052868376965, 0.4153682624512269, 0.40817919144171044, 0.3958717677373222, 0.3844572197540813, 0.3794217142240799, 0.3682631677138817, 0.3654001668368992, 0.3610666812587876, 0.35599422791839147, 0.3542271176505045, 0.3527540188845349, 0.34966209825198563, 0.33992153201303027, 0.33854975566097245, 0.3362045329904072]"
41,Musculoskeletal system,Robotic arm,the skeletal system,15,"['the skeletal system', 'Human Body', 'Skin System', 'The Nervous System', 'Machines', 'The Brain', 'Diseases', 'Heart', 'How the Human Brain Works', 'Healing', 'Disease', 'Buildings', 'illness', 'Human Hands', 'Robotic arm', 'Operating System', 'mind', 'society', 'A Tuning System for Music', 'Robotic Movement']","[0.6801185442577655, 0.6382721935704398, 0.5114063159375728, 0.480006889163648, 0.4530182104383702, 0.4520283276470243, 0.4403778046016968, 0.4217375155854007, 0.4205150326221345, 0.4029430491286983, 0.38303255827373045, 0.36558201852997496, 0.3595063079905536, 0.35819457690124845, 0.35643262654476826, 0.3544202134531884, 0.34330282269834655, 0.3403508693338478, 0.3390316753111377, 0.3293586500126694]"
42,Respiratory system,Air handling system,respiration,11,"['respiration', 'Human Body', 'The Nervous System', 'Plants', 'Skin System', 'air circulation ducts', 'sponge', 'The Brain', 'life', 'Burning Energy', 'Air handling system', 'Heart', 'air filter', 'the skeletal system', 'Desert', 'River', 'Ecosystem', 'Biological Evolution', 'engine', 'ecosystem']","[0.6818808790653158, 0.4782551807312212, 0.4499833481355038, 0.4409647741079208, 0.43903297100732447, 0.4222107280009207, 0.4160807916321899, 0.41522653440237933, 0.4141984697628739, 0.4104273640427101, 0.40989716548317545, 0.40756412934275843, 0.4045519169233644, 0.3813117229642582, 0.37042539860610446, 0.3682770249902094, 0.3626586697561293, 0.35952789952968567, 0.3425454715480591, 0.3333653613773591]"
43,Microbiome,ecosystem,Ecosystem,2,"['Ecosystem', 'ecosystem', 'mind', 'Biological Evolution', 'life', 'bacterial mutation', 'Immunity', 'illness', 'Group Behavior', 'memory', 'Urban Evolution', 'Diseases', 'Human Relationships', 'Families', 'Evolution', 'Disease', 'Plants', 'forest', 'Human Body', 'Population Movement']","[0.4453663771463938, 0.4263564897653447, 0.413752234689808, 0.3904601560523069, 0.3861586694619786, 0.3739253848008338, 0.35460063691994953, 0.3464233214833772, 0.33673169068948927, 0.33584025197465817, 0.3352598575050081, 0.3334081624258151, 0.33116383605538763, 0.3298422505089472, 0.3259743006803368, 0.32092723056679107, 0.31771128598775666, 0.31625548020095906, 0.31569333435154867, 0.31380117956666154]"
44,Endocrine System,Regulator,Human Body,-1,"['Human Body', 'The Nervous System', 'the skeletal system', 'The Brain', 'Skin System', 'How the Human Brain Works', 'Heart', 'Operating System', 'Ecosystem', 'ecosystem', 'life', 'Machines', 'respiration', 'CPU', 'Diseases', 'Human Hands', 'Plants', 'Healing', 'Neural Networks', 'British Government System']","[0.6232441819027443, 0.5557531771060678, 0.5193029586528529, 0.513826997291833, 0.471417793389165, 0.46372534939967647, 0.4143600482159196, 0.3749426303446839, 0.37234231056379863, 0.3669345867599086, 0.3541963817108608, 0.34983295011554905, 0.3469145130139377, 0.34470649574441004, 0.34284229229802404, 0.3350451989582457, 0.33264471983626176, 0.33010266404516353, 0.32514155411121326, 0.32359248461962453]"
45,blood circulation system,Water pipe system,Human Body,-1,"['Human Body', 'Heart', 'The Nervous System', 'the skeletal system', 'Skin System', 'The Brain', 'respiration', 'air circulation ducts', 'How the Human Brain Works', 'River', 'Circuits', 'life', 'sponge', 'Diseases', 'Ecosystem', 'heat transfer', 'Plants', 'ecosystem', 'Burning Energy', 'Machines']","[0.713238953447312, 0.52254641534586, 0.4827170802880819, 0.4817918565528606, 0.4787620058972496, 0.4739532054186204, 0.4426189066128456, 0.4394448030032059, 0.4207769316710779, 0.39080468983150773, 0.3897490572682662, 0.3831182078472918, 0.37240914546168874, 0.3661144104796533, 0.35939934712295035, 0.3571383137334848, 0.3553394004878871, 0.354526090333709, 0.35282768403800746, 0.33242053812415234]"
46,cell,house,Human Body,-1,"['Human Body', 'life', 'The Nervous System', 'The Brain', 'Burning Energy', 'Plants', 'Skin System', 'respiration', 'bacterial mutation', 'Diseases', 'How the Human Brain Works', 'illness', 'Heart', 'Computer Processor', 'CPU', 'Machines', 'laboratory', 'blind', 'Computer', 'natural selection']","[0.502234294368322, 0.4404964293736741, 0.3911653305015158, 0.3862685490855282, 0.3631858227325548, 0.35550661109013443, 0.35160244251805756, 0.3458720356476065, 0.342865848468061, 0.34230587126691125, 0.3407593792120025, 0.3384068610148796, 0.3348025466394339, 0.3337172319069741, 0.3329465497220301, 0.32126290349381936, 0.3106616461224274, 0.3070969222479333, 0.304304877394514, 0.3036784337392368]"
47,cell,program,life,-1,"['life', 'Biological Evolution', 'Human Body', 'Plants', 'bacterial mutation', 'Diseases', 'CPU', 'The Nervous System', 'The Brain', 'Disease', 'respiration', 'atom', 'Evolution', 'Circuits', 'career', 'How the Human Brain Works', 'natural selection', 'sponge', 'Chemical Reactions', 'city']","[0.5841657733456105, 0.4187138133194069, 0.41175872205427755, 0.4103107595121348, 0.40600345227453977, 0.3930075107298044, 0.3831038511638136, 0.37476781734059345, 0.3683135441857014, 0.3670576146565997, 0.36474559014268887, 0.3645878227318006, 0.35942817900552776, 0.3491538578283844, 0.3458088070719575, 0.34301849983434923, 0.3369364533527371, 0.3358133737564215, 0.33418981224805666, 0.3325586374239085]"
48,Human body,car,Human Body,-1,"['Human Body', 'The Brain', 'How the Human Brain Works', 'Heart', 'the skeletal system', 'The Nervous System', 'life', 'Skin System', 'human', 'Diseases', 'respiration', 'mind', 'Human Hands', 'Plants', 'Disease', 'Buildings', 'Machines', 'Human Relationships', 'Houses', 'Healing']","[0.8649989601783248, 0.588427639447445, 0.5846235334502837, 0.5597918989117179, 0.5410967600143463, 0.5266803932939501, 0.5210249042013774, 0.4730760822841721, 0.4672386309637009, 0.4646367336077504, 0.452828113400843, 0.4497393918048401, 0.4369810225721883, 0.433304816180232, 0.4255273791369234, 0.42024605952582356, 0.3999867018518467, 0.3995173939632979, 0.39012530115399013, 0.38951787083165423]"
49,Brain system,electromagnetic emission system,The Brain,-1,"['The Brain', 'How the Human Brain Works', 'The Nervous System', 'Neural Networks', 'mind', 'Human Body', 'The Neural Network of Computers', 'memory', 'human', 'Heart', 'the skeletal system', 'Group Behavior', 'life', 'CPU', 'Biological Evolution', 'Computer Processor', 'Plants', 'respiration', 'Machines', 'Computer']","[0.8904075107163794, 0.7238447600043811, 0.6918561485095232, 0.5621467850506824, 0.5194081180333703, 0.5160108018862358, 0.5150195615137161, 0.47637297952900887, 0.46710343238765883, 0.4141696895072818, 0.39279956921474396, 0.38114647453717265, 0.38034761046320664, 0.37928033793589333, 0.37791228413882655, 0.37060197531275113, 0.36779356997242857, 0.3629658322097914, 0.35549690706185744, 0.3497425830767295]"
50,Hematopoietic System,Factory,Human Body,-1,"['Human Body', 'the skeletal system', 'Skin System', 'The Nervous System', 'Heart', 'Healing', 'How the Human Brain Works', 'The Brain', 'life', 'respiration', 'Diseases', 'Plants', ""the factory's production line"", 'Operating System', 'Machines', 'Ecosystem', 'sponge', 'Burning Energy', 'Disease', 'natural selection']","[0.616358131879403, 0.4900684642436854, 0.48249789134203946, 0.451602249923981, 0.4190356917341257, 0.38347600793117675, 0.3790962253075016, 0.3765245062958623, 0.36322435141155995, 0.3606537103773909, 0.3468121968012795, 0.3451598516433774, 0.316244023641172, 0.3157527341208946, 0.31574046592626615, 0.30652751756841096, 0.30412346738922336, 0.302820834063423, 0.3025203361581855, 0.3001839810701733]"
51,Cellular Structure,City,Human Body,-1,"['Human Body', 'The Nervous System', 'The Brain', 'life', 'How the Human Brain Works', 'atom', 'Plants', 'Skin System', 'Buildings', 'Disease', 'the skeletal system', 'Machines', 'Diseases', 'Chemical Reactions', 'Circuits', 'Houses', 'Heart', 'CPU', 'factory', ""the factory's production line""]","[0.470287804583089, 0.45998124129660795, 0.4185929396506262, 0.4128671464644605, 0.3850703046776364, 0.3774811983405416, 0.37135759483124164, 0.366839625132558, 0.3566329644711064, 0.3516166716826053, 0.3486439037066495, 0.3483880210180611, 0.3474226519640947, 0.3467906742873557, 0.3448508151553917, 0.34152209357155605, 0.33773883276299277, 0.33661526510432255, 0.3362530420177089, 0.33617939529403207]"
52,DNA replication,Printing,bacterial mutation,11,"['bacterial mutation', 'the replicator', 'Biological Evolution', 'Evolution', 'life', 'natural selection', 'respiration', 'Chemical Reactions', 'code', 'laboratory', 'Printing', 'Healing', 'research', 'Building Repair', 'Deciphering the Code', 'Human Body', 'Molecular Symmetry', 'Human Relationships', ""the factory's production line"", 'program']","[0.4618203081800674, 0.45869079882350183, 0.45129831900243367, 0.43050119023769234, 0.42669405664269483, 0.4234027605082988, 0.337535282759017, 0.3355101059477127, 0.32536603831506133, 0.31757524499581263, 0.3068625424488155, 0.30356614157517875, 0.2990538840384136, 0.2958968911732291, 0.2940809661152163, 0.2940785521790309, 0.292327440838247, 0.28793888297031794, 0.28331745560253657, 0.2819359127577244]"
53,blood circulation system,Water pipe system,Human Body,20,"['Human Body', 'Heart', 'Skin System', 'The Nervous System', 'the skeletal system', 'air circulation ducts', 'The Brain', 'respiration', 'How the Human Brain Works', 'Circuits', 'Diseases', 'heat transfer', 'life', 'River', 'Plants', 'Ecosystem', 'sponge', 'ecosystem', 'Burning Energy', 'Water pipe system']","[0.6772598297744681, 0.5067986252243691, 0.4645695981912037, 0.45897180062046417, 0.4442734046632956, 0.42978784336441, 0.41530251987422523, 0.4115884477199794, 0.40600044701618976, 0.380432954325019, 0.3601592109472185, 0.35830142426026224, 0.35476593969430026, 0.3531368380919828, 0.33097876518050506, 0.32997038460972256, 0.3265642449648277, 0.3245420943723481, 0.3232202521443509, 0.31651642889921494]"
54,Protein,The Puzzle,life,-1,"['life', 'Human Body', 'Buildings', 'Biological Evolution', 'Plants', 'Chemical Reactions', 'Burning Energy', 'Machines', 'respiration', 'bacterial mutation', 'atom', 'Ecosystem', 'The Brain', 'laboratory', 'CPU', 'the skeletal system', 'Heart', 'Skin System', 'natural selection', 'Building']","[0.45627678716629766, 0.4349594875035684, 0.39909816512116475, 0.39677017354291344, 0.3896108171164844, 0.38437909341374576, 0.3834081543854866, 0.3808556052204666, 0.37866136051732363, 0.37129149410220486, 0.3637127487407352, 0.33920333299957556, 0.33871418483224813, 0.3382715494023735, 0.33799291902723005, 0.33778058359066077, 0.33608191759535894, 0.33337507390474835, 0.331330012923286, 0.32907439704809927]"
55,cell,factory,life,-1,"['life', 'atom', 'Human Body', 'The Nervous System', 'The Brain', 'Plants', 'CPU', 'Circuits', 'Computer Processor', 'How the Human Brain Works', 'city', 'Computer', 'family', 'laboratory', 'Houses', 'Chemical Reactions', 'Burning Energy', 'Skin System', 'Heart', 'Ecosystem']","[0.5547423818133946, 0.4948051165567343, 0.4841413674390014, 0.4594867533647062, 0.4435455553826512, 0.43851263543337815, 0.4350046973020217, 0.4326536816882232, 0.3972210160810061, 0.396947895844053, 0.3878428005654513, 0.37837530986501233, 0.37578049267775204, 0.3745115414153862, 0.37391518778080357, 0.3730158634231806, 0.3727982519047884, 0.3691813781483504, 0.3672260494408838, 0.36710918764653666]"
56,Genes,Computer Code,Evolution,12,"['Evolution', 'Biological Evolution', 'bacterial mutation', 'natural selection', 'life', 'Families', 'Pedigree Trees', 'Deciphering the Code', 'family', 'ideas', 'Plants', 'Computer Code', 'Diseases', 'code', 'engine', 'The Nervous System', 'knowledge', 'idea', 'The Brain', 'Machines']","[0.4690780951806801, 0.43476167047547076, 0.43401560406152795, 0.422162740238772, 0.41712990342002343, 0.38578379527738527, 0.37942546348749867, 0.3665511551909735, 0.34961447020251274, 0.34742362603077037, 0.3420831813383605, 0.3420195494627713, 0.3380246595087736, 0.33408710125210567, 0.3261128616042612, 0.32136499151411313, 0.32044593915120057, 0.31594539131744936, 0.31570399368147384, 0.312644920060568]"
57,The Evolution of Viruses,The Production Line of a Car Factory,Evolution,-1,"['Evolution', 'Biological Evolution', 'bacterial mutation', 'Urban Evolution', 'natural selection', 'life', 'Diseases', 'illness', 'Disease', 'human', 'code', 'innovation', 'Vortex', 'The Brain', 'Archeology', 'Deciphering the Code', 'research', 'Chemical Reactions', 'Human Body', 'ideas']","[0.5851125103134506, 0.5738393466883793, 0.49955343894164117, 0.4982507485122624, 0.4002479092295169, 0.3856476162232674, 0.32241096695321825, 0.3177514153432348, 0.30316164622863206, 0.2993293272086492, 0.28908635202150834, 0.28121381154736425, 0.28089415694897335, 0.27795508568484595, 0.2764375069335564, 0.2730246054600457, 0.26709535626031317, 0.2648959327459086, 0.26219848853319594, 0.2563690043795348]"
58,Immune System,Reactor,Skin System,-1,"['Skin System', 'Immunity', 'The Nervous System', 'Human Body', 'Diseases', 'illness', 'The Brain', 'Disease', 'life', 'ecosystem', 'Ecosystem', 'the skeletal system', 'How the Human Brain Works', 'Neural Networks', 'Biological Evolution', 'Operating System', 'Machines', 'Healing', 'mind', 'natural selection']","[0.5546683822420619, 0.5396219841005125, 0.5361959327832764, 0.48958948632295474, 0.4646939767672492, 0.4436980716333437, 0.4348154002498002, 0.4337556686282752, 0.42313476736480904, 0.3933333149385766, 0.3875962219626936, 0.38716667787389136, 0.3824376798793148, 0.36889987101886956, 0.3633914419548937, 0.34773269985411875, 0.34579936758434876, 0.3429341176931098, 0.33927188190752133, 0.3385061119674218]"
59,Transcription and Translation,Printers,Translation,20,"['Translation', 'bacterial mutation', 'code', 'respiration', 'Chemical Reactions', 'Deciphering the Code', 'life', 'Biological Evolution', 'Computer Code', 'CPU', 'natural selection', 'program', 'heat transfer', ""the factory's production line"", 'Computer Processor', 'Printing', 'Evolution', 'Human Body', 'Electronic Signal Transmission', 'Printers']","[0.5025282500841473, 0.4097759964130197, 0.40725864315313043, 0.3909613266541584, 0.3862712794127714, 0.37270423524358853, 0.36182028174747716, 0.35061560979537676, 0.34964262397953416, 0.33395048791459714, 0.3279073098297659, 0.3222098962399339, 0.3218965279608713, 0.3203812540730824, 0.31788873763231434, 0.31786102447882786, 0.3176204538298548, 0.30587895167949375, 0.3009971713333778, 0.29729974067451426]"
